PACKAGE,CLASS,LINUX,MAC,WINDOWS,TOTAL
org.jhotdraw.app.action,UndoAction,5,6,5,7
org.jhotdraw.app.action,UndoAction.new PropertyChangeListener() {...},2,2,2,2
org.jhotdraw.app.action,ValidateModelAction,2,2,2,2
org.jhotdraw.app,DefaultAppletApplication,0,0,0,7
org.jhotdraw.app,DefaultApplicationModel,15,15,15,18
org.jhotdraw.app,DefaultMDIApplication,0,0,0,19
org.jhotdraw.app,DefaultMDIApplication.new InternalFrameAdapter() {...},0,0,0,2
org.jhotdraw.app,DefaultMDIApplication.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.app,DefaultMDIApplication.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.app,DefaultMDIApplication.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.app,DefaultMDIApplication.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.app,DefaultMDIApplication.new WindowAdapter() {...},0,0,0,2
org.jhotdraw.app,DefaultOSXApplication,0,22,0,22
org.jhotdraw.app,DefaultOSXApplication.new PropertyChangeListener() {...},0,2,0,2
org.jhotdraw.app,DefaultOSXApplication.new PropertyChangeListener() {...},0,2,0,2
org.jhotdraw.app,DefaultOSXApplication.new PropertyChangeListener() {...},0,2,0,2
org.jhotdraw.app,DefaultOSXApplication.new WindowAdapter() {...},0,2,0,2
org.jhotdraw.app,DefaultOSXApplication.new Worker() {...},0,3,0,3
org.jhotdraw.app,DefaultSDIApplication,20,0,20,21
org.jhotdraw.app,DefaultSDIApplication.new PropertyChangeListener() {...},2,0,2,2
org.jhotdraw.app,DefaultSDIApplication.new PropertyChangeListener() {...},2,0,2,2
org.jhotdraw.app,DefaultSDIApplication.new WindowAdapter() {...},3,0,3,3
org.jhotdraw.application,AbstractDocumentOrientedApplication,0,0,0,37
org.jhotdraw.application,AbstractDocumentOrientedApplication.new Worker() {...},0,0,0,3
org.jhotdraw.application,AbstractDocumentView,0,0,0,20
org.jhotdraw.application,AbstractMDIApplication,0,0,0,16
org.jhotdraw.application,AbstractMDIApplication.new InternalFrameAdapter() {...},0,0,0,2
org.jhotdraw.application,AbstractMDIApplication.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.application,AbstractMDIApplication.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.application,AbstractMDIApplication.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.application,AbstractMDIApplication.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.application,AbstractMDIApplication.new WindowAdapter() {...},0,0,0,2
org.jhotdraw.application,AbstractOSXApplication,0,0,0,19
org.jhotdraw.application,AbstractOSXApplication.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.application,AbstractOSXApplication.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.application,AbstractOSXApplication.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.application,AbstractOSXApplication.new WindowAdapter() {...},0,0,0,2
org.jhotdraw.application,AbstractOSXApplication.new Worker() {...},0,0,0,3
org.jhotdraw.application,AbstractSDIApplication,0,0,0,15
org.jhotdraw.application,AbstractSDIApplication.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.application,AbstractSDIApplication.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.application,AbstractSDIApplication.new WindowAdapter() {...},0,0,0,3
org.jhotdraw.application.action,AboutAction,0,0,0,2
org.jhotdraw.application.action,AbstractApplicationAction,0,0,0,12
org.jhotdraw.application.action,AbstractApplicationAction.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.application.action,AbstractDocumentViewAction,0,0,0,11
org.jhotdraw.application.action,AbstractDocumentViewAction.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.application.action,AbstractDocumentViewAction.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.application.action,AbstractSaveBeforeAction,0,0,0,5
org.jhotdraw.application.action,AbstractSaveBeforeAction.new SheetListener() {...},0,0,0,2
org.jhotdraw.application.action,AbstractSaveBeforeAction.new SheetListener() {...},0,0,0,2
org.jhotdraw.application.action,AbstractSaveBeforeAction.new Worker() {...},0,0,0,3
org.jhotdraw.application.action,Actions,0,0,0,3
org.jhotdraw.application.action,Actions.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.application.action,ArrangeAction,0,0,0,2
org.jhotdraw.application.action,ClearAction,0,0,0,2
org.jhotdraw.application.action,ClearAction.new Worker() {...},0,0,0,3
org.jhotdraw.application.action,ClearRecentFilesAction,0,0,0,6
org.jhotdraw.application.action,ClearRecentFilesAction.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.application.action,CloseAction,0,0,0,2
org.jhotdraw.application.action,CopyAction,0,0,0,2
org.jhotdraw.application.action,CutAction,0,0,0,2
org.jhotdraw.application.action,DeleteAction,0,0,0,3
org.jhotdraw.application.action,DuplicateAction,0,0,0,2
org.jhotdraw.application.action,ExitAction,0,0,0,11
org.jhotdraw.application.action,ExitAction.new SheetListener() {...},0,0,0,2
org.jhotdraw.application.action,ExitAction.new SheetListener() {...},0,0,0,2
org.jhotdraw.application.action,ExitAction.new SheetListener() {...},0,0,0,2
org.jhotdraw.application.action,ExitAction.new SheetListener() {...},0,0,0,2
org.jhotdraw.application.action,ExitAction.new Worker() {...},0,0,0,3
org.jhotdraw.application.action,ExitAction.new Worker() {...},0,0,0,3
org.jhotdraw.application.action,ExportAction,0,0,0,4
org.jhotdraw.application.action,ExportAction.new SheetListener() {...},0,0,0,2
org.jhotdraw.application.action,ExportAction.new Worker() {...},0,0,0,3
org.jhotdraw.application.action,FindAction,0,0,0,2
org.jhotdraw.application.action,FocusAction,0,0,0,6
org.jhotdraw.application.action,FocusAction.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.application.action,LoadAction,0,0,0,4
org.jhotdraw.application.action,LoadAction.new SheetListener() {...},0,0,0,2
org.jhotdraw.application.action,LoadAction.new Worker() {...},0,0,0,3
org.jhotdraw.application.action,LoadRecentAction,0,0,0,3
org.jhotdraw.application.action,LoadRecentAction.new SheetListener() {...},0,0,0,2
org.jhotdraw.application.action,LoadRecentAction.new Worker() {...},0,0,0,3
org.jhotdraw.application.action,MaximizeAction,0,0,0,3
org.jhotdraw.application.action,MinimizeAction,0,0,0,3
org.jhotdraw.application.action,NewAction,0,0,0,2
org.jhotdraw.application.action,NewAction.new Worker() {...},0,0,0,3
org.jhotdraw.application.action,OpenAction,0,0,0,4
org.jhotdraw.application.action,OpenAction.new SheetListener() {...},0,0,0,2
org.jhotdraw.application.action,OpenAction.new Worker() {...},0,0,0,3
org.jhotdraw.application.action,OpenRecentAction,0,0,0,4
org.jhotdraw.application.action,OpenRecentAction.new SheetListener() {...},0,0,0,2
org.jhotdraw.application.action,OpenRecentAction.new Worker() {...},0,0,0,3
org.jhotdraw.application.action,OSXDropOnDockAction,0,0,0,2
org.jhotdraw.application.action,OSXDropOnDockAction.new Worker() {...},0,0,0,3
org.jhotdraw.application.action,OSXTogglePaletteAction,0,0,0,5
org.jhotdraw.application.action,OSXTogglePaletteAction.new WindowAdapter() {...},0,0,0,2
org.jhotdraw.application.action,PasteAction,0,0,0,2
org.jhotdraw.application.action,PrintAction,0,0,0,5
org.jhotdraw.application.action,PrintAction.new Worker() {...},0,0,0,3
org.jhotdraw.application.action,PropertyAction,0,0,0,6
org.jhotdraw.application.action,PropertyAction.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.application.action,RedoAction,0,0,0,7
org.jhotdraw.application.action,RedoAction.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.application.action,SaveAction,0,0,0,5
org.jhotdraw.application.action,SaveAction.new SheetListener() {...},0,0,0,2
org.jhotdraw.application.action,SaveAction.new Worker() {...},0,0,0,3
org.jhotdraw.application.action,SaveAsAction,0,0,0,1
org.jhotdraw.application.action,SelectAllAction,0,0,0,2
org.jhotdraw.application.action,ToggleProjectPropertyAction,0,0,0,7
org.jhotdraw.application.action,ToggleProjectPropertyAction.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.application.action,ToggleToolBarAction,0,0,0,4
org.jhotdraw.application.action,ToggleToolBarAction.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.application.action,ToggleVisibleAction,0,0,0,2
org.jhotdraw.application.action,ToggleVisibleAction.new ComponentAdapter() {...},0,0,0,3
org.jhotdraw.application.action,UndoAction,0,0,0,7
org.jhotdraw.application.action,UndoAction.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.application,DefaultApplicationModel,0,0,0,18
org.jhotdraw.application,MyMnemonicText,0,0,0,7
org.jhotdraw.application,OSXPaletteHandler,0,0,0,9
org.jhotdraw.application,OSXPaletteHandler.new ActionListener() {...},0,0,0,2
org.jhotdraw.application,OSXPaletteHandler.new WindowFocusListener() {...},0,0,0,3
org.jhotdraw.app,OSXPaletteHandler,0,8,0,9
org.jhotdraw.app,OSXPaletteHandler.new ActionListener() {...},0,2,0,2
org.jhotdraw.app,OSXPaletteHandler.new WindowFocusListener() {...},0,3,0,3
org.jhotdraw.beans,AbstractBean,6,6,6,9
org.jhotdraw.draw,AbstractAttributedCompositeFigure,0,0,0,25
org.jhotdraw.draw,AbstractAttributedDecoratedFigure,10,10,10,15
org.jhotdraw.draw,AbstractAttributedFigure,15,17,15,23
org.jhotdraw.draw,AbstractCompositeFigure,32,32,32,53
org.jhotdraw.draw,AbstractCompositeFigure.ChildHandler,3,3,3,5
org.jhotdraw.draw,AbstractConnectionHandle,4,4,4,18
org.jhotdraw.draw,AbstractConnector,11,11,11,21
org.jhotdraw.draw,AbstractDrawing,25,25,25,30
org.jhotdraw.draw,AbstractFigure,37,38,38,55
org.jhotdraw.draw,AbstractHandle,25,25,25,37
org.jhotdraw.draw,AbstractLayouter,0,0,0,2
org.jhotdraw.draw,AbstractLineDecoration,0,0,0,11
org.jhotdraw.draw,AbstractLocator,1,1,1,2
org.jhotdraw.draw,AbstractTool,29,29,29,40
org.jhotdraw.draw.action,AbstractEditorAction,0,0,0,8
org.jhotdraw.draw.action,AbstractEditorAction.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.draw.action,AbstractSelectedAction,6,6,6,8
org.jhotdraw.draw.action,AbstractSelectedAction.EventHandler,3,3,3,3
org.jhotdraw.draw.action,AbstractSelectedAction.new PropertyChangeListener() {...},2,2,2,2
org.jhotdraw.draw.action,AbstractViewAction,3,3,3,9
org.jhotdraw.draw.action,AbstractViewAction.new PropertyChangeListener() {...},0,0,0,2
org.jhotdraw.draw.action,AbstractViewAction.new PropertyChangeListener() {...},1,1,1,2
